station,stationLabel,ibnr
http://www.wikidata.org/entity/Q1870688,Gare de Thonon-les-Bains,8700547
http://www.wikidata.org/entity/Q1990647,Arras railway station,8700071
http://www.wikidata.org/entity/Q1999123,Gare de Menton,8700150
http://www.wikidata.org/entity/Q801578,Warnemünde railway station,8013236
http://www.wikidata.org/entity/Q2137593,Les Sables-d'Olonne,8700200
http://www.wikidata.org/entity/Q2028453,Gare d'Agde,8700145
http://www.wikidata.org/entity/Q2025211,Gare d'Orange,8700433
http://www.wikidata.org/entity/Q2043382,Annecy railway station,8700135
http://www.wikidata.org/entity/Q2107509,Calais-Ville railway station,8700386
http://www.wikidata.org/entity/Q2125764,Gare de Morlaix,8700213
http://www.wikidata.org/entity/Q2143564,Mouchard railway station,8700049
http://www.wikidata.org/entity/Q2130915,Annemasse station,8700131
http://www.wikidata.org/entity/Q2212277,Miramas Station,8700362
http://www.wikidata.org/entity/Q2207342,Gare de Roubaix,8700236
http://www.wikidata.org/entity/Q2253062,Gare de Mâcon-Loché TGV,8700253
http://www.wikidata.org/entity/Q2151935,Frasne railway station,8700163
http://www.wikidata.org/entity/Q2228617,Douai railway station,8700007
http://www.wikidata.org/entity/Q2167270,Dax railway station,8700043
http://www.wikidata.org/entity/Q2187817,Le Pouliguen train station,8701820
http://www.wikidata.org/entity/Q2190517,Épinal railway station,8700255
http://www.wikidata.org/entity/Q2255490,Brest railway station,8700434
http://www.wikidata.org/entity/Q2274288,La Teste railway station,8702130
http://www.wikidata.org/entity/Q2317658,Pontarlier railway station,8700406
http://www.wikidata.org/entity/Q2309911,Gare de Montbard,8701558
http://www.wikidata.org/entity/Q2352492,Gare de Lamballe,8701413
http://www.wikidata.org/entity/Q2486002,Gare de Saint-Étienne-Châteaucreux,8700046
http://www.wikidata.org/entity/Q2444752,Culoz,8700039
http://www.wikidata.org/entity/Q2422473,Gare de Versailles-Chantiers,8700079
http://www.wikidata.org/entity/Q2474563,Dunkirk railway station,8700004
http://www.wikidata.org/entity/Q7553541,Soest (Germany) station,8000076
http://www.wikidata.org/entity/Q4766078,Anklam railway station,8011044
http://www.wikidata.org/entity/Q2878538,Gare de Landerneau,8700453
http://www.wikidata.org/entity/Q2905334,Gare d'Albertville,8700128
http://www.wikidata.org/entity/Q15107232,Murnau station,8004185
http://www.wikidata.org/entity/Q3095646,Gare d'Angoulême,8700063
http://www.wikidata.org/entity/Q15635107,Fehmarn-Burg station,8001274
http://www.wikidata.org/entity/Q111323608,Long-distance and regional railway station Berlin-Südkreuz,8011113
http://www.wikidata.org/entity/Q3095766,Hazebrouck,8700076
http://www.wikidata.org/entity/Q2783838,Gare de Landry,8700444
http://www.wikidata.org/entity/Q2545346,Grenoble railway station,8700034
http://www.wikidata.org/entity/Q2544309,Gare des Aubrais-Orléans,8700003
http://www.wikidata.org/entity/Q2553804,Gare d'Avignon-Centre,8700172
http://www.wikidata.org/entity/Q2530280,Gare de Niort,8700201
http://www.wikidata.org/entity/Q2542662,Gare d'Hyères,8702308
http://www.wikidata.org/entity/Q2586908,Gare de Remiremont,8701879
http://www.wikidata.org/entity/Q2598042,Tourcoing station,8700121
http://www.wikidata.org/entity/Q2602045,Gare de Lannion,8703647
http://www.wikidata.org/entity/Q2777199,Arcachon,8700197
http://www.wikidata.org/entity/Q2666389,Gare de La Souterraine,8701994
http://www.wikidata.org/entity/Q2656916,Dole-Ville railway station,8700116
http://www.wikidata.org/entity/Q2762145,gare de La Rochelle,8700202
http://www.wikidata.org/entity/Q2717025,Gare de Forbach,8700271
http://www.wikidata.org/entity/Q2755422,Croix - Wasquehal,8700512
http://www.wikidata.org/entity/Q2767199,Modane railway station,8700127
http://www.wikidata.org/entity/Q6456,Hamburg Hauptbahnhof,8002549
http://www.wikidata.org/entity/Q55423,Bonn Hauptbahnhof,8000044
http://www.wikidata.org/entity/Q1954,Cologne Central Station,8000207
http://www.wikidata.org/entity/Q1097,Berlin Central Station,8098160
http://www.wikidata.org/entity/Q1097,Berlin Central Station,8011160
http://www.wikidata.org/entity/Q3097519,Gare de Saint-Dié-des-Vosges,8700427
http://www.wikidata.org/entity/Q3096183,Chambéry-Challes-les-Eaux station,8700055
http://www.wikidata.org/entity/Q3096753,La Baule-Escoublac train station,8700084
http://www.wikidata.org/entity/Q3096043,Gare de Bourg-en-Bresse,8700037
http://www.wikidata.org/entity/Q3096443,Laval railway station,8701470
http://www.wikidata.org/entity/Q3097323,Pornichet train station,8701799
http://www.wikidata.org/entity/Q800550,Bonn-Beuel station,8001083
http://www.wikidata.org/entity/Q5522675,Gare d'Aubin,8702710
http://www.wikidata.org/entity/Q5522688,Gare de Cransac,8703182
http://www.wikidata.org/entity/Q3095682,Gare d'Assier,8702699
